designator,value,package,manufacturer,mfr_part,lcsc,pins
C1,C1206,C1206,null,C1206,C9900018280,2
C10,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C11,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C12,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C13,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C14,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C15,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C16,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C17,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C18,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C19,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C2,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C20,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C21,820nF,C0603,CCTC(三环),TCC0603X7R824K250CT,C5360807,2
C22,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C23,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C24,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C25,100nF,CAP-TH_L13.0-W6.0-P10.00-D0.6,TDK,B32921C3104M000,C361368,2
C26,100nF,CAP-TH_L13.0-W6.0-P10.00-D0.6,TDK,B32921C3104M000,C361368,2
C27,0.8pF,C0402,VIIYONG(微容),V0R8C0402COG500NBT,C609886,2
C28,0.8pF,C0402,VIIYONG(微容),V0R8C0402COG500NBT,C609886,2
C29,C1206,C1206,null,C1206,C9900018280,2
C3,C1206,C1206,null,C1206,C9900018280,2
C30,C1206,C1206,null,C1206,C9900018280,2
C31,C1206,C1206,null,C1206,C9900018280,2
C32,4.7uF,C2220,CCTC(三环),TCC2220X7R475K500GT,C377139,2
C4,C1206,C1206,null,C1206,C9900018280,2
